img_id	text	cluster	predicted_label	coarse_label
c5172ec821d34152694d3c6783f7eb5b	男女童纯棉短裤2021夏季新款宝宝帅气五分裤洋气裤子运动裤	10	女童_童装_男童	服装
31c16cef97ed8f058c2d408ebbded367	夏季网纱裤子女薄款宽松韩版显瘦八分运动休闲哈伦束脚雪纺九分裤	5	裤子_牛仔裤_直筒	服装
8f0f6687b8366dbe3daef461a6bbb477	韩版夏季新款刺绣芝麻街卡通条纹大码宽松显瘦中长款短袖T恤女	6	上衣_外套_长袖	服装
e93ee55d5076954b323bcfd613d7a48e	牛仔马甲连衣裙两件套2021春季新款女气质时尚显瘦洋气减龄套装	3	连衣裙_裙子_女装	服装
4676a325f34cfbd8b40f03f568d7ff03	慵懒风设计感圆领蕾丝边T恤女欧洲站2021夏季女装新款欧货潮韩版	6	上衣_外套_长袖	服装
626603c4278300bc6d6ee537b9518789	品牌女装新品通勤绣花圆领套头卫衣女5982	6	上衣_外套_长袖	服装
df8cd9bdf23668a1b9825cf9596cd2e8	春季法式高跟鞋复古闪光玛丽珍鞋粗跟赫本一字钻亮片方头黑色单鞋	7	女鞋_单鞋_真皮	鞋类
96a1864c69bd8c49ff2e2d653288c257	MOCO中腰口袋原色窄口修身九分牛仔裤MA173PAT403	2	女装_印花_外套	服装
830f2aab8ecc27138a952d761b6d1e6b	11/10S1098红米K40K30ProNOTE10NOTE9pro橘子花朵手机壳	15	手机_硅胶_保护套	数码
49cd12f59e98698e49534b4b11eae513	重磅针织五分裤男纯色日系简约基础抽绳松紧短裤宽松运动休闲卫裤	5	裤子_牛仔裤_直筒	服装
335535aa1f269df80e6fe3a17a050b1d	品牌女装秋款时尚个性复古印花饱和色收腰连衣裙长裙	3	连衣裙_裙子_女装	服装
807b7aba700dea23af04a1432f4ad845	韩国复古雪纺高腰玫瑰印花百褶裙半身裙夏中长裙子女花朵2020爆款	3	连衣裙_裙子_女装	服装
2b04efa750ee89be7d70506d50c14b83	法单S家polo领短袖轻熟上衣女气质珍珠扣冰丝针织衫夏SFPPU00487	2	女装_印花_外套	服装
d78846e0d5ab92d1a0272278bb2e2d8d	2018冬简约百搭女士系带休闲靴短筒粗跟靴H83W8419正码	7	女鞋_单鞋_真皮	鞋类
d05eb51afbb488d25b8baf698b5628c4	美国正品abercrombie fitch AF男新款圆领短袖T恤短T19	2	女装_印花_外套	服装
6c49c74f81134a7f42d587512a05fbc8	韩版网红气质发箍头箍纯棉针织复古纯色洗脸简约压发防滑百搭	4	韩国_帽子_头饰	饰品
b6b1fb7ec1eab2629b7a60988da60853	jnina捷恩尼纳桑蚕丝拼接亚麻中长裙刺绣侧开衩连衣裙春夏	3	连衣裙_裙子_女装	服装
157d9a002802481f534628e827d3c9b3	韩国鱼胶原蛋白生物纤维面膜收缩毛孔补水嫩白淡斑女提拉紧致修复	8	补水_精华_毛孔	美妆
e28d47d542dcc7d2077966a5ffc92ed0	网纱连衣裙款气质不规则下摆透视中长裙女287510320	3	连衣裙_裙子_女装	服装
